group,names,scores,logfoldchanges,pvals,pvals_adj
Normal Epithelial,ENSG00000187193,60.11632,9.413764,0.0,0.0
Normal Epithelial,ENSG00000142192,59.911453,5.1004987,0.0,0.0
Normal Epithelial,ENSG00000137154,59.653904,58.050144,0.0,0.0
Normal Epithelial,ENSG00000163435,59.546852,6.232405,0.0,0.0
Normal Epithelial,ENSG00000099622,59.295715,7.329497,0.0,0.0
Normal Epithelial,ENSG00000196531,58.997776,30.250607,0.0,0.0
Normal Epithelial,ENSG00000161016,58.79606,49.189545,0.0,0.0
Normal Epithelial,ENSG00000162244,58.787945,50.012825,0.0,0.0
Normal Epithelial,ENSG00000148303,58.741707,49.404465,0.0,0.0
Normal Epithelial,ENSG00000188846,58.629726,38.982513,0.0,0.0
Normal Epithelial,ENSG00000089356,58.62755,2.4103026,0.0,0.0
Normal Epithelial,ENSG00000145425,58.435715,60.301857,0.0,0.0
Normal Epithelial,ENSG00000142871,57.811832,5.984093,0.0,0.0
Normal Epithelial,ENSG00000136997,57.776463,6.1663866,0.0,0.0
Normal Epithelial,ENSG00000104332,57.757362,9.964999,0.0,0.0
Normal Epithelial,ENSG00000125868,57.638123,5.596761,0.0,0.0
Normal Epithelial,ENSG00000145741,57.524467,15.152716,0.0,0.0
Normal Epithelial,ENSG00000170889,57.466484,37.12193,0.0,0.0
Normal Epithelial,ENSG00000154553,57.118683,5.1049657,0.0,0.0
Normal Epithelial,ENSG00000160789,56.770344,12.214417,0.0,0.0
Normal Epithelial,ENSG00000089157,56.673973,60.181267,0.0,0.0
PVL,ENSG00000163453,106.30304,82.94681,0.0,0.0
PVL,ENSG00000101335,106.05593,28.41934,0.0,0.0
PVL,ENSG00000107796,103.67048,40.453995,0.0,0.0
PVL,ENSG00000149591,102.19339,45.24889,0.0,0.0
PVL,ENSG00000122786,98.813194,22.685463,0.0,0.0
PVL,ENSG00000152583,98.4594,20.337555,0.0,0.0
PVL,ENSG00000198467,96.78219,17.067797,0.0,0.0
PVL,ENSG00000185633,92.75409,13.815256,0.0,0.0
PVL,ENSG00000109610,92.06901,10.924829,0.0,0.0
PVL,ENSG00000148671,88.07513,12.903657,0.0,0.0
PVL,ENSG00000182492,86.80112,8.044163,0.0,0.0
PVL,ENSG00000105974,86.42146,6.7021627,0.0,0.0
PVL,ENSG00000183722,85.898346,7.3062797,0.0,0.0
PVL,ENSG00000113140,85.81768,14.051168,0.0,0.0
PVL,ENSG00000140545,85.23918,6.478258,0.0,0.0
PVL,ENSG00000189129,84.08049,6.633898,0.0,0.0
PVL,ENSG00000074181,78.75386,6.3275948,0.0,0.0
PVL,ENSG00000182871,78.4278,10.136579,0.0,0.0
PVL,ENSG00000167641,77.08956,7.341487,0.0,0.0
PVL,ENSG00000076706,76.75952,7.7625475,0.0,0.0
PVL,ENSG00000142089,75.118904,16.258497,0.0,0.0
PVL,ENSG00000109472,74.364586,6.376479,0.0,0.0
PVL,ENSG00000142910,73.896614,5.5882654,0.0,0.0
PVL,ENSG00000149131,73.7472,5.723603,0.0,0.0
PVL,ENSG00000175899,72.73735,4.7039886,0.0,0.0
PVL,ENSG00000162998,72.65454,5.3334217,0.0,0.0
PVL,ENSG00000113721,72.5598,5.926343,0.0,0.0
PVL,ENSG00000131711,72.44184,5.182136,0.0,0.0
PVL,ENSG00000170955,72.354836,4.92694,0.0,0.0
PVL,ENSG00000140416,72.31484,8.839452,0.0,0.0
PVL,ENSG00000187513,71.657425,6.165281,0.0,0.0
PVL,ENSG00000100234,71.30723,4.7924137,0.0,0.0
PVL,ENSG00000065534,71.04756,5.6244698,0.0,0.0
PVL,ENSG00000184489,69.51836,5.6053557,0.0,0.0
PVL,ENSG00000177469,68.007256,4.238487,0.0,0.0
PVL,ENSG00000108387,67.51978,6.2939935,0.0,0.0
PVL,ENSG00000142173,65.020615,5.9240427,0.0,0.0
PVL,ENSG00000117318,64.90646,7.4532375,0.0,0.0
PVL,ENSG00000175183,64.86725,5.14422,0.0,0.0
PVL,ENSG00000026025,64.23736,30.565918,0.0,0.0
PVL,ENSG00000168386,62.944336,5.409437,0.0,0.0
PVL,ENSG00000131055,62.287525,7.6919265,0.0,0.0
PVL,ENSG00000100097,62.08224,8.400561,0.0,0.0
PVL,ENSG00000154734,62.053253,5.004953,0.0,0.0
PVL,ENSG00000140682,62.01335,4.354711,0.0,0.0
PVL,ENSG00000132386,60.9657,4.204191,0.0,0.0
